brand,model,variant,fuel_type,body_type,transmission,owner_type,owner_number,kms_driven,model_year,registration_year,engine_displacement,mileage,max_power,torque,color,engine_type,gear_box,drive_type,steering_type,top_speed,acceleration,price,City,car_age
Maruti,Maruti Celerio,ZXI,Petrol,Hatchback,Manual,3rd Owner,3,60000,2017,2017,998.0,23.1,67.04,90.0,Others,K10B Engine,5 Speed ,FWD,Power,154.5,14.350000000000001,350000.0,Kolkata,8
Audi,Audi Q5,2.0 TDI Premium Plus,Diesel,SUV,Automatic,1st Owner,1,34000,2014,2014,1949.5,14.16,174.3,372.5,Brown,TDI Quattro Engine ,7 Speed,AWD,Power,182.5,11.549999999999997,1950000.0,Kolkata,11
Maruti,Maruti A-Star,Vxi,Petrol,Hatchback,Manual,1st Owner,1,60000,2012,2012,998.0,19.0,66.1,90.0,Others,K Series Petrol Engine,5 Speed,FWD,Power,170.0,12.9,300000.0,Kolkata,13
Toyota,Toyota Innova,2.5 G (Diesel) 7 Seater BS IV,Diesel,MUV,Manual,1st Owner,1,152000,2014,2014,1949.5,12.99,100.6,200.0,Brown,2KD-FTV Diesel Engine,5 Speed,RWD,Power,155.0,13.3,695000.0,Kolkata,11
Land Rover,Land Rover Range Rover Sport,3.0 D HSE Dynamic Black,Diesel,SUV,Automatic,1st Owner,1,45000,2014,2014,1949.5,12.65,177.54999999999998,372.5,White,,8 Speed,4WD,Power,182.5,11.549999999999997,5600000.0,Kolkata,11
Toyota,Toyota Corolla Altis,1.8 J,Petrol,Sedan,Manual,3rd Owner,3,56766,2013,2013,1798.0,14.53,138.0,173.0,Blue,2ZR-FE Gasoline 4Cylinder,6 Speed,FWD,Power,182.5,11.549999999999997,399000.0,Kolkata,12
Tata,Tata New Safari,XZA Plus 6 Str AT BSVI,Diesel,SUV,Automatic,1st Owner,1,7114,2022,2022,1949.5,14.08,167.67,350.0,Blue,Kryotec 2.0 L Turbocharged Engine,6-Speed,,Power,170.0,12.9,2109000.0,Kolkata,3
Tata,Tata New Safari,XZA Plus 6 Str AT BSVI,Diesel,SUV,Automatic,1st Owner,1,25508,2021,2021,1949.5,14.08,167.67,350.0,Sky Blue,Kryotec 2.0 L Turbocharged Engine,6-Speed,,Power,170.0,12.9,2000000.0,Kolkata,4
Maruti,Maruti Wagon R,LXI BS IV,Petrol,Hatchback,Manual,1st Owner,1,39369,2012,2012,998.0,18.9,67.1,90.0,Silver,K Series Petrol Engine,5 Speed,FWD,Power,170.0,12.9,217000.0,Kolkata,13
Mahindra,Mahindra XUV500,W5,Diesel,SUV,Manual,1st Owner,1,96707,2018,2018,1949.5,19.255853130413264,152.87,360.0,Others,mHawk155 Diesel Engine,6 Speed,FWD,Power,170.0,12.9,886000.0,Kolkata,7
Hyundai,Hyundai i20 Active,1.2 SX,Petrol,Hatchback,Manual,1st Owner,1,50000,2016,2016,1197.0,17.19,81.86,114.73,Others,VTVT Petrol Engine,5 Speed,FWD,Power,160.0,14.0,550000.0,Kolkata,9
Renault,Renault KWID,RXL,Petrol,Hatchback,Manual,1st Owner,1,30345,2019,2019,799.0,22.25,53.26,72.0,Red,0.8 SCe,5 Speed,,Electric,170.0,12.9,327000.0,Kolkata,6
Toyota,Toyota Fortuner,4x2 AT,Diesel,SUV,Automatic,1st Owner,1,128232,2016,2016,1949.5,12.55,168.5,360.0,White,D-4D Diesel Engine,5 Speed ,FWD,Power,176.0,11.549999999999997,1775000.0,Kolkata,9
Honda,Honda WR-V,i-VTEC S,Petrol,SUV,Manual,1st Owner,1,54018,2017,2017,1199.0,17.5,88.7,110.0,Brown,i-VTEC Petrol Engine,5 Speed,FWD,Electric,164.0,14.350000000000001,487000.0,Kolkata,8
